,seqno,send.timestamp,receive.timestamp,gtp.out.timestamp,gtp.out.length,gtp.out.sn,sdap.sdu.timestamp,sdap.sdu.length,pdcp.decoded.timestamp,pdcp.decoded.length,rlc.reassembled.0.rlc.reassembled.MRbuf,rlc.reassembled.0.rlc.reassembled.timestamp,rlc.reassembled.0.rlc.reassembled.length,rlc.reassembled.0.rlc.decoded.lcid,rlc.reassembled.0.rlc.decoded.hqpid,rlc.reassembled.0.rlc.decoded.frame,rlc.reassembled.0.rlc.decoded.slot,rlc.reassembled.0.rlc.decoded.timestamp,rlc.reassembled.0.rlc.decoded.length,rlc.reassembled.0.mac.demuxed.frame,rlc.reassembled.0.mac.demuxed.slot,rlc.reassembled.0.mac.demuxed.ldpciter,rlc.reassembled.0.mac.demuxed.mcs,rlc.reassembled.0.mac.demuxed.hqpid,rlc.reassembled.0.mac.demuxed.hqround,rlc.reassembled.0.mac.demuxed.timestamp,rlc.reassembled.0.mac.demuxed.length,rlc.reassembled.0.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.1.rlc.reassembled.MRbuf,rlc.reassembled.1.rlc.reassembled.timestamp,rlc.reassembled.1.rlc.reassembled.length,rlc.reassembled.1.rlc.decoded.lcid,rlc.reassembled.1.rlc.decoded.hqpid,rlc.reassembled.1.rlc.decoded.frame,rlc.reassembled.1.rlc.decoded.slot,rlc.reassembled.1.rlc.decoded.timestamp,rlc.reassembled.1.rlc.decoded.length,rlc.reassembled.1.mac.demuxed.frame,rlc.reassembled.1.mac.demuxed.slot,rlc.reassembled.1.mac.demuxed.ldpciter,rlc.reassembled.1.mac.demuxed.mcs,rlc.reassembled.1.mac.demuxed.hqpid,rlc.reassembled.1.mac.demuxed.hqround,rlc.reassembled.1.mac.demuxed.timestamp,rlc.reassembled.1.mac.demuxed.length,rlc.reassembled.1.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.2.rlc.reassembled.MRbuf,rlc.reassembled.2.rlc.reassembled.timestamp,rlc.reassembled.2.rlc.reassembled.length,rlc.reassembled.2.rlc.decoded.lcid,rlc.reassembled.2.rlc.decoded.hqpid,rlc.reassembled.2.rlc.decoded.frame,rlc.reassembled.2.rlc.decoded.slot,rlc.reassembled.2.rlc.decoded.timestamp,rlc.reassembled.2.rlc.decoded.length,rlc.reassembled.2.mac.demuxed.frame,rlc.reassembled.2.mac.demuxed.slot,rlc.reassembled.2.mac.demuxed.ldpciter,rlc.reassembled.2.mac.demuxed.mcs,rlc.reassembled.2.mac.demuxed.hqpid,rlc.reassembled.2.mac.demuxed.hqround,rlc.reassembled.2.mac.demuxed.timestamp,rlc.reassembled.2.mac.demuxed.length,rlc.reassembled.2.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.2.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.3.rlc.reassembled.MRbuf,rlc.reassembled.3.rlc.reassembled.timestamp,rlc.reassembled.3.rlc.reassembled.length,rlc.reassembled.3.rlc.decoded.lcid,rlc.reassembled.3.rlc.decoded.hqpid,rlc.reassembled.3.rlc.decoded.frame,rlc.reassembled.3.rlc.decoded.slot,rlc.reassembled.3.rlc.decoded.timestamp,rlc.reassembled.3.rlc.decoded.length,rlc.reassembled.3.mac.demuxed.frame,rlc.reassembled.3.mac.demuxed.slot,rlc.reassembled.3.mac.demuxed.ldpciter,rlc.reassembled.3.mac.demuxed.mcs,rlc.reassembled.3.mac.demuxed.hqpid,rlc.reassembled.3.mac.demuxed.hqround,rlc.reassembled.3.mac.demuxed.timestamp,rlc.reassembled.3.mac.demuxed.length,rlc.reassembled.3.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.3.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqround
390,385,1722015968.1925719,1722015968.281623,1722015968.281596,128,390,1722015968.281595,128,1722015968.281591,131,1931186191,1722015968.281591,131,4,7,783,17,1722015968.28159,134,783,17,4,8,7,0,1722015968.281583,792,1722015968.281355,783,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,390,1722015968.292236,1722015968.3064947,1722015968.306458,128,391,1722015968.306455,128,1722015968.306448,131,1931185666,1722015968.306448,95,4,10,786,7,1722015968.306448,100,786,7,3,9,10,0,1722015968.306447,120,1722015968.306369,786,7,10,0,1931185666,1722015968.301438,36,4,10,786,7,1722015968.306448,100,786,7,3,9,10,0,1722015968.306447,120,1722015968.306369,786,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,391,1722015968.3123677,1722015968.3314323,1722015968.3314,128,392,1722015968.331397,128,1722015968.331391,131,1931185666,1722015968.331391,95,4,12,788,17,1722015968.33139,100,788,17,3,9,12,0,1722015968.33139,120,1722015968.331321,788,17,12,0,1931185666,1722015968.326402,36,4,12,788,17,1722015968.33139,100,788,17,3,9,12,0,1722015968.33139,120,1722015968.331321,788,17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,392,1722015968.3325002,1722015968.3514168,1722015968.351382,128,393,1722015968.351379,128,1722015968.351373,131,1931185666,1722015968.351373,95,4,15,790,17,1722015968.351373,100,790,17,3,9,15,0,1722015968.351372,120,1722015968.351302,790,17,15,0,1931185666,1722015968.346405,36,4,15,790,17,1722015968.351373,100,790,17,3,9,15,0,1722015968.351372,120,1722015968.351302,790,17,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,393,1722015968.3526323,1722015968.4215176,1722015968.421461,128,394,1722015968.42146,128,1722015968.42145,131,1931185666,1722015968.421449,61,4,6,797,17,1722015968.421449,66,797,17,3,10,6,0,1722015968.421448,220,1722015968.421355,797,17,6,0,1931185666,1722015968.416355,34,4,6,797,17,1722015968.421449,66,797,17,3,10,6,0,1722015968.421448,220,1722015968.421355,797,17,6,0,1931185666,1722015968.366367,36,4,6,797,17,1722015968.421449,66,797,17,3,10,6,0,1722015968.421448,220,1722015968.421355,797,17,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,393,1722015968.3526323,1722015968.4215176,1722015968.421462,128,397,1722015968.421461,128,1722015968.421453,131,1931185734,1722015968.421453,131,4,6,797,17,1722015968.421453,134,797,17,3,10,6,0,1722015968.421448,220,1722015968.421355,797,17,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,397,1722015968.4321654,1722015968.5316596,1722015968.531603,128,398,1722015968.531598,128,1722015968.53159,131,1931185666,1722015968.531589,88,4,10,808,17,1722015968.531589,93,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,1931185666,1722015968.521393,34,4,10,808,17,1722015968.531589,93,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,1931185700,1722015968.436337,9,4,7,799,7,1722015968.436337,12,799,7,3,10,7,0,1722015968.436336,65,1722015968.436291,799,7,7,0,1722015968.526337,808,7,10,0,1722015968.526337,808,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,397,1722015968.4321654,1722015968.5316596,1722015968.531605,128,399,1722015968.531604,128,1722015968.531594,131,1931185761,1722015968.531594,131,4,10,808,17,1722015968.531593,134,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015968.526337,808,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,397,1722015968.4321654,1722015968.5316596,1722015968.531606,128,400,1722015968.531605,128,1722015968.531595,131,1931185897,1722015968.531594,131,4,10,808,17,1722015968.531594,134,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015968.526337,808,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,397,1722015968.4321654,1722015968.5316596,1722015968.531607,128,401,1722015968.531606,128,1722015968.531595,131,1931186033,1722015968.531595,131,4,10,808,17,1722015968.531595,134,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015968.526337,808,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,397,1722015968.4321654,1722015968.5316596,1722015968.531608,128,402,1722015968.531607,128,1722015968.531595,131,1931186169,1722015968.531595,131,4,10,808,17,1722015968.531595,134,808,17,4,11,10,1,1722015968.531587,792,1722015968.531386,808,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722015968.526337,808,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,402,1722015968.531833,1722015968.5464985,1722015968.546454,128,403,1722015968.54645,128,1722015968.546444,131,1931185666,1722015968.546443,95,4,12,810,7,1722015968.546443,100,810,7,4,11,12,0,1722015968.546442,110,1722015968.546365,810,7,12,0,1931185666,1722015968.541391,36,4,12,810,7,1722015968.546443,100,810,7,4,11,12,0,1722015968.546442,110,1722015968.546365,810,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,403,1722015968.551967,1722015968.5664852,1722015968.566452,128,404,1722015968.566449,128,1722015968.566444,131,1931185666,1722015968.566444,95,4,15,812,7,1722015968.566443,100,812,7,4,11,15,0,1722015968.566442,110,1722015968.566353,812,7,15,0,1931185666,1722015968.561438,36,4,15,812,7,1722015968.566443,100,812,7,4,11,15,0,1722015968.566442,110,1722015968.566353,812,7,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,404,1722015968.5720992,1722015968.5864444,1722015968.586413,128,405,1722015968.58641,128,1722015968.586405,131,1931185666,1722015968.586405,95,4,0,814,7,1722015968.586405,100,814,7,3,11,0,0,1722015968.586404,110,1722015968.586334,814,7,0,0,1931185666,1722015968.5814,36,4,0,814,7,1722015968.586405,100,814,7,3,11,0,0,1722015968.586404,110,1722015968.586334,814,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,405,1722015968.5922334,1722015968.606464,1722015968.606432,128,406,1722015968.60643,128,1722015968.606424,131,1931185666,1722015968.606424,95,4,2,816,7,1722015968.606424,100,816,7,6,11,2,0,1722015968.606423,110,1722015968.606329,816,7,2,0,1931185666,1722015968.601383,36,4,2,816,7,1722015968.606424,100,816,7,6,11,2,0,1722015968.606423,110,1722015968.606329,816,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,406,1722015968.6123667,1722015968.6314645,1722015968.631433,128,407,1722015968.63143,128,1722015968.631424,131,1931185666,1722015968.631424,95,4,4,818,17,1722015968.631423,100,818,17,5,12,4,0,1722015968.631423,110,1722015968.631345,818,17,4,0,1931185666,1722015968.626414,36,4,4,818,17,1722015968.631423,100,818,17,5,12,4,0,1722015968.631423,110,1722015968.631345,818,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,407,1722015968.6324995,1722015968.6514916,1722015968.651455,128,408,1722015968.651451,128,1722015968.651445,131,1931185666,1722015968.651444,95,4,6,820,17,1722015968.651444,100,820,17,5,12,6,0,1722015968.651443,110,1722015968.651345,820,17,6,0,1931185666,1722015968.646422,36,4,6,820,17,1722015968.651444,100,820,17,5,12,6,0,1722015968.651443,110,1722015968.651345,820,17,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,408,1722015968.652631,1722015968.671444,1722015968.671412,128,409,1722015968.67141,128,1722015968.671405,131,1931185666,1722015968.671405,95,4,7,822,17,1722015968.671404,100,822,17,4,12,7,0,1722015968.671403,110,1722015968.671326,822,17,7,0,1931185666,1722015968.666397,36,4,7,822,17,1722015968.671404,100,822,17,4,12,7,0,1722015968.671403,110,1722015968.671326,822,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,409,1722015968.671768,1722015968.6864746,1722015968.68644,128,410,1722015968.686437,128,1722015968.686431,131,1931185666,1722015968.686431,95,4,10,824,7,1722015968.68643,100,824,7,5,12,10,0,1722015968.68643,110,1722015968.686344,824,7,10,0,1931185666,1722015968.681395,36,4,10,824,7,1722015968.68643,100,824,7,5,12,10,0,1722015968.68643,110,1722015968.686344,824,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,410,1722015968.6918995,1722015968.706491,1722015968.706446,128,411,1722015968.706443,128,1722015968.706438,131,1931185666,1722015968.706438,95,4,12,826,7,1722015968.706438,100,826,7,4,12,12,0,1722015968.706437,110,1722015968.706367,826,7,12,0,1931185666,1722015968.701406,36,4,12,826,7,1722015968.706438,100,826,7,4,12,12,0,1722015968.706437,110,1722015968.706367,826,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,411,1722015968.7120335,1722015968.7264893,1722015968.726456,128,412,1722015968.726453,128,1722015968.726447,131,1931185666,1722015968.726447,95,4,15,828,7,1722015968.726447,100,828,7,4,13,15,0,1722015968.726446,120,1722015968.726367,828,7,15,0,1931185666,1722015968.721435,36,4,15,828,7,1722015968.726447,100,828,7,4,13,15,0,1722015968.726446,120,1722015968.726367,828,7,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,412,1722015968.7321646,1722015968.746471,1722015968.746435,128,413,1722015968.746431,128,1722015968.746425,131,1931185666,1722015968.746425,95,4,0,830,7,1722015968.746424,100,830,7,3,13,0,0,1722015968.746424,120,1722015968.746351,830,7,0,0,1931185666,1722015968.741412,36,4,0,830,7,1722015968.746424,100,830,7,3,13,0,0,1722015968.746424,120,1722015968.746351,830,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,413,1722015968.7522986,1722015968.7664566,1722015968.76642,128,414,1722015968.766417,128,1722015968.766412,131,1931185666,1722015968.766411,95,4,2,832,7,1722015968.766411,100,832,7,3,13,2,0,1722015968.76641,120,1722015968.766337,832,7,2,0,1931185666,1722015968.76139,36,4,2,832,7,1722015968.766411,100,832,7,3,13,2,0,1722015968.76641,120,1722015968.766337,832,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,414,1722015968.7724307,1722015968.7914743,1722015968.791442,128,415,1722015968.791439,128,1722015968.791434,131,1931185666,1722015968.791434,95,4,4,834,17,1722015968.791433,100,834,17,5,13,4,0,1722015968.791432,120,1722015968.79135,834,17,4,0,1931185666,1722015968.78642,36,4,4,834,17,1722015968.791433,100,834,17,5,13,4,0,1722015968.791432,120,1722015968.79135,834,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,415,1722015968.7925653,1722015968.8114634,1722015968.81143,128,416,1722015968.811428,128,1722015968.811422,131,1931185666,1722015968.811422,95,4,6,836,17,1722015968.811422,100,836,17,3,13,6,0,1722015968.811421,120,1722015968.811346,836,17,6,0,1931185666,1722015968.806403,36,4,6,836,17,1722015968.811422,100,836,17,3,13,6,0,1722015968.811421,120,1722015968.811346,836,17,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,416,1722015968.811701,1722015968.8264563,1722015968.826425,128,417,1722015968.826422,128,1722015968.826417,131,1931185666,1722015968.826417,95,4,7,838,7,1722015968.826417,100,838,7,4,14,7,0,1722015968.826416,120,1722015968.826337,838,7,7,0,1931185666,1722015968.821409,36,4,7,838,7,1722015968.826417,100,838,7,4,14,7,0,1722015968.826416,120,1722015968.826337,838,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,417,1722015968.8318357,1722015968.8464775,1722015968.846442,128,418,1722015968.846439,128,1722015968.846433,131,1931185666,1722015968.846433,95,4,10,840,7,1722015968.846432,100,840,7,5,14,10,0,1722015968.846432,120,1722015968.846344,840,7,10,0,1931185666,1722015968.841389,36,4,10,840,7,1722015968.846432,100,840,7,5,14,10,0,1722015968.846432,120,1722015968.846344,840,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,418,1722015968.8519738,1722015968.8664176,1722015968.866379,128,419,1722015968.866377,128,1722015968.86637,131,1931185666,1722015968.86637,95,4,12,842,7,1722015968.86637,100,842,7,3,14,12,0,1722015968.866369,120,1722015968.866309,842,7,12,0,1931185666,1722015968.861392,36,4,12,842,7,1722015968.86637,100,842,7,3,14,12,0,1722015968.866369,120,1722015968.866309,842,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,419,1722015968.872107,1722015968.8864725,1722015968.886437,128,420,1722015968.886434,128,1722015968.886428,131,1931185666,1722015968.886428,95,4,15,844,7,1722015968.886427,100,844,7,3,14,15,0,1722015968.886426,120,1722015968.886354,844,7,15,0,1931185666,1722015968.881418,36,4,15,844,7,1722015968.886427,100,844,7,3,14,15,0,1722015968.886426,120,1722015968.886354,844,7,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,420,1722015968.8922386,1722015968.9064724,1722015968.906439,128,421,1722015968.906436,128,1722015968.906431,131,1931185666,1722015968.906431,95,4,0,846,7,1722015968.90643,100,846,7,4,14,0,0,1722015968.90643,120,1722015968.906347,846,7,0,0,1931185666,1722015968.901405,36,4,0,846,7,1722015968.90643,100,846,7,4,14,0,0,1722015968.90643,120,1722015968.906347,846,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,421,1722015968.912371,1722015968.9314446,1722015968.931408,128,422,1722015968.931406,128,1722015968.931399,131,1931185666,1722015968.931399,95,4,2,848,17,1722015968.931399,100,848,17,4,15,2,0,1722015968.931397,110,1722015968.931325,848,17,2,0,1931185666,1722015968.92638,36,4,2,848,17,1722015968.931399,100,848,17,4,15,2,0,1722015968.931397,110,1722015968.931325,848,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,422,1722015968.9325047,1722015968.9514744,1722015968.951441,128,423,1722015968.951438,128,1722015968.951433,131,1931185666,1722015968.951433,95,4,4,850,17,1722015968.951433,100,850,17,4,15,4,0,1722015968.951432,110,1722015968.951366,850,17,4,0,1931185666,1722015968.946357,36,4,4,850,17,1722015968.951433,100,850,17,4,15,4,0,1722015968.951432,110,1722015968.951366,850,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,423,1722015968.9526396,1722015968.9714768,1722015968.971441,128,424,1722015968.971438,128,1722015968.971432,131,1931185666,1722015968.971432,95,4,6,852,17,1722015968.971432,100,852,17,5,15,6,0,1722015968.971431,110,1722015968.971348,852,17,6,0,1931185666,1722015968.966427,36,4,6,852,17,1722015968.971432,100,852,17,5,15,6,0,1722015968.971431,110,1722015968.971348,852,17,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,424,1722015968.9717717,1722015968.9864812,1722015968.986445,128,425,1722015968.986442,128,1722015968.986437,131,1931185666,1722015968.986436,95,4,7,854,7,1722015968.986436,100,854,7,6,15,7,0,1722015968.986435,110,1722015968.98635,854,7,7,0,1931185666,1722015968.981414,36,4,7,854,7,1722015968.986436,100,854,7,6,15,7,0,1722015968.986435,110,1722015968.98635,854,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,425,1722015968.9919038,1722015969.0064871,1722015969.006446,128,426,1722015969.006442,128,1722015969.006433,131,1931185666,1722015969.006433,95,4,10,856,7,1722015969.006432,100,856,7,4,15,10,0,1722015969.006431,110,1722015969.00634,856,7,10,0,1931185666,1722015969.001424,36,4,10,856,7,1722015969.006432,100,856,7,4,15,10,0,1722015969.006431,110,1722015969.00634,856,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,426,1722015969.012039,1722015969.0264657,1722015969.02643,128,427,1722015969.026428,128,1722015969.026421,131,1931185666,1722015969.02642,95,4,12,858,7,1722015969.02642,100,858,7,5,16,12,0,1722015969.026419,121,1722015969.026317,858,7,12,0,1931185666,1722015969.021404,36,4,12,858,7,1722015969.02642,100,858,7,5,16,12,0,1722015969.026419,121,1722015969.026317,858,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,427,1722015969.032173,1722015969.0465577,1722015969.046517,128,428,1722015969.046515,128,1722015969.046507,131,1931185666,1722015969.046507,119,4,15,860,7,1722015969.046506,124,860,7,7,16,15,0,1722015969.046504,154,1722015969.046372,860,7,15,0,1931185690,1722015969.041393,12,4,13,859,17,1722015969.041393,15,859,17,3,9,13,0,1722015969.041386,60,1722015969.041328,859,17,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,428,1722015969.0523133,1722015969.0715568,1722015969.071459,128,429,1722015969.071453,128,1722015969.071445,131,1931185666,1722015969.071444,95,4,0,862,17,1722015969.071443,100,862,17,3,16,0,1,1722015969.071441,121,1722015969.071327,862,17,0,1,1931185666,1722015969.061453,36,4,0,862,17,1722015969.071443,100,862,17,3,16,0,1,1722015969.071441,121,1722015969.071327,862,17,0,1,,,,,,,,,,,,,,,,,,,,,,,1722015969.066353,862,7,0,0,1722015969.066353,862,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,429,1722015969.0724163,1722015969.0915093,1722015969.091469,128,430,1722015969.091466,128,1722015969.09146,131,1931185666,1722015969.09146,95,4,2,864,17,1722015969.091459,100,864,17,6,16,2,0,1722015969.091457,121,1722015969.091338,864,17,2,0,1931185666,1722015969.086398,36,4,2,864,17,1722015969.091459,100,864,17,6,16,2,0,1722015969.091457,121,1722015969.091338,864,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,430,1722015969.0925639,1722015969.1115077,1722015969.111474,128,431,1722015969.111471,128,1722015969.111465,131,1931185666,1722015969.111465,95,4,4,866,17,1722015969.111465,100,866,17,5,16,4,0,1722015969.111464,121,1722015969.111357,866,17,4,0,1931185666,1722015969.1064,36,4,4,866,17,1722015969.111465,100,866,17,5,16,4,0,1722015969.111464,121,1722015969.111357,866,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
